Sale_ID,Date,Brand,Shoe_Type,Color,Country,Sales_Channel,Price_USD,Units_Sold,Revenue_USD
S27,2025-10-04,Nike,Sneakers,Blue,Germany,Online,73.93,17,1256.81
S28,2025-02-27,Puma,Casual,Black,UK,Mall,143.13,12,1717.56
S29,2025-02-10,Skechers,Formal,Black,Saudi Arabia,Mall,160.33,3,480.99
S30,2025-03-06,Skechers,Formal,Grey,UK,Retail Store,40.22,5,201.1
S31,2025-09-28,Reebok,Casual,Grey,Saudi Arabia,Mall,163.66,20,3273.2
S32,2025-12-20,Skechers,Sports,Red,UAE,Mall,67.52,7,472.64
S33,2025-07-11,New Balance,Formal,Black,UK,Online,44.31,15,664.65
S34,2025-02-02,Nike,Sneakers,Grey,UK,Mall,238.75,11,2626.25
S35,2025-04-23,Nike,Boots,Green,USA,Online,242.44,1,242.44
S36,2025-02-04,Puma,Running,Grey,UK,Retail Store,207.85,2,415.7
S37,2025-12-09,Adidas,Sneakers,White,UAE,Mall,97.02,16,1552.32
S38,2025-10-23,Adidas,Formal,Red,UK,Online,51.49,16,823.84
S39,2025-02-19,Puma,Formal,Red,Germany,Mall,180.53,14,2527.42
S40,2025-01-28,Nike,Formal,Green,France,Online,126.83,4,507.32
S41,2025-05-08,Adidas,Sneakers,Red,UK,Retail Store,56.85,7,397.95
S42,2025-04-04,Reebok,Casual,Black,Germany,Mall,138.94,9,1250.46
S43,2025-02-20,Skechers,Sneakers,Black,USA,Online,37.57,2,75.14
S44,2025-03-27,Reebok,Formal,White,Saudi Arabia,Retail Store,230.05,14,3220.7
S45,2025-01-31,Reebok,Running,Red,France,Retail Store,86.93,6,521.58
S46,2025-05-27,Skechers,Boots,Grey,UAE,Mall,175.75,14,2460.5
S47,2025-09-07,Adidas,Sports,White,USA,Mall,98.58,5,492.9
S48,2025-10-05,Skechers,Sports,Black,USA,Mall,144.41,2,288.82
S49,2025-09-02,New Balance,Casual,Black,India,Online,150.28,17,2554.76
S50,2025-04-06,New Balance,Running,Green,Saudi Arabia,Online,70.67,3,212.01
S51,2025-07-26,New Balance,Casual,Grey,India,Online,243.31,4,973.24
S52,2025-11-14,Reebok,Boots,Grey,India,Mall,200.53,3,601.59
S53,2025-06-11,Adidas,Boots,Green,France,Online,236.69,9,2130.21
S54,2025-05-16,Adidas,Boots,Green,France,Retail Store,226.86,13,2949.18
S55,2025-06-11,Nike,Formal,Grey,India,Online,161.54,3,484.62
S56,2025-02-07,Adidas,Sneakers,Blue,UK,Retail Store,232.81,18,4190.58
S57,2025-02-05,Puma,Sports,White,Germany,Mall,49.47,8,395.76
S58,2025-12-27,New Balance,Boots,Grey,USA,Mall,73.12,10,731.2
S59,2025-10-11,Skechers,Running,White,France,Online,39.95,10,399.5
S60,2025-02-24,Adidas,Sports,Blue,India,Online,101.57,18,1828.26
S61,2025-06-25,Skechers,Boots,Blue,India,Retail Store,115.51,7,808.57
S62,2025-05-09,Nike,Boots,Red,Saudi Arabia,Retail Store,89.7,2,179.4
S63,2025-01-23,Puma,Casual,Green,France,Online,212.32,1,212.32
S64,2025-08-15,Skechers,Formal,Grey,USA,Online,108.49,18,1952.82
S65,2025-02-08,New Balance,Running,Blue,India,Mall,91.81,5,459.05
S66,2025-03-17,Adidas,Running,Blue,France,Online,149.39,14,2091.46
S67,2025-07-03,Skechers,Casual,Green,USA,Retail Store,61.0,7,427.0
S68,2025-10-14,New Balance,Boots,White,UK,Online,206.48,14,2890.72
S69,2025-04-01,Nike,Casual,Green,France,Retail Store,46.4,14,649.6
S70,2025-12-09,Puma,Casual,Green,USA,Retail Store,247.12,8,1976.96
S71,2025-01-20,Adidas,Casual,Red,France,Retail Store,199.89,16,3198.24
S72,2025-04-27,Nike,Boots,White,Germany,Retail Store,73.72,8,589.76
S73,2025-05-23,Puma,Sports,Green,India,Retail Store,31.21,3,93.63
S74,2025-12-14,Puma,Running,Black,France,Online,209.4,18,3769.2
S75,2025-10-25,Nike,Running,Grey,Germany,Retail Store,185.51,9,1669.59
S76,2025-06-10,New Balance,Sneakers,Black,Germany,Mall,190.38,14,2665.32
S77,2025-04-08,Nike,Boots,Red,USA,Mall,199.68,9,1797.12
S78,2025-10-03,Puma,Formal,Black,UAE,Retail Store,46.29,7,324.03
S79,2025-11-16,Skechers,Running,Green,France,Mall,108.86,11,1197.46
S80,2025-06-08,Puma,Formal,Green,France,Mall,55.49,14,776.86
S81,2025-03-07,Reebok,Boots,Red,UAE,Mall,219.88,7,1539.16
S82,2025-03-31,New Balance,Sports,Red,India,Online,167.13,20,3342.6
S83,2025-06-05,Adidas,Formal,Grey,India,Mall,102.8,10,1028.0
S84,2025-06-14,Reebok,Formal,Green,UK,Mall,43.98,15,659.7
S85,2025-08-31,Skechers,Running,Blue,India,Mall,98.42,6,590.52
S86,2025-11-21,Puma,Running,White,UAE,Retail Store,101.54,20,2030.8
S87,2025-04-26,Adidas,Running,Black,UK,Retail Store,190.51,7,1333.57
S88,2025-11-09,Reebok,Formal,Green,India,Online,170.26,3,510.78
S89,2025-12-23,Reebok,Formal,White,UK,Mall,225.19,13,2927.47
S90,2025-12-19,Nike,Formal,White,UK,Mall,133.89,1,133.89
S91,2025-09-23,Nike,Sneakers,White,Saudi Arabia,Online,56.31,15,844.65
S92,2025-08-22,Reebok,Boots,Grey,India,Mall,186.91,5,934.55
S93,2025-06-12,New Balance,Boots,Grey,Germany,Mall,197.37,15,2960.55
S94,2025-08-17,Skechers,Formal,Red,France,Online,153.48,6,920.88
S95,2025-11-23,New Balance,Formal,Green,UK,Retail Store,199.61,9,1796.49
S96,2025-08-14,Skechers,Sports,White,France,Retail Store,138.64,3,415.92
S97,2025-06-13,Nike,Casual,White,UK,Retail Store,145.0,18,2610.0
S98,2025-12-22,Skechers,Casual,Black,Germany,Retail Store,124.06,5,620.3
S99,2025-06-19,Reebok,Formal,Black,UK,Retail Store,35.59,18,640.62
S100,2025-07-19,Skechers,Running,Grey,Germany,Retail Store,53.74,19,1021.06
S101,2025-01-04,Puma,Formal,Red,India,Mall,36.91,12,442.92
S102,2025-10-07,Adidas,Formal,White,France,Retail Store,170.01,20,3400.2
S103,2025-09-06,Reebok,Sports,Green,UAE,Retail Store,99.16,1,99.16
S104,2025-03-26,Adidas,Sneakers,Grey,USA,Retail Store,141.89,15,2128.35
S105,2025-10-31,Skechers,Running,Black,UAE,Retail Store,229.66,19,4363.54
S106,2025-03-11,Adidas,Running,Blue,Germany,Retail Store,84.84,15,1272.6
S107,2025-04-19,Puma,Sports,Red,France,Retail Store,120.28,15,1804.2
S108,2025-05-10,Reebok,Running,Green,India,Online,196.22,3,588.66
S109,2025-06-29,Skechers,Running,Green,USA,Online,80.34,8,642.72
S110,2025-05-07,Nike,Sneakers,White,UK,Online,46.94,7,328.58
S111,2025-08-31,New Balance,Casual,Red,UAE,Retail Store,93.75,4,375.0
S112,2025-07-08,New Balance,Sneakers,Green,UAE,Online,65.47,6,392.82
S113,2025-03-25,Nike,Sneakers,Black,France,Mall,234.53,10,2345.3
S114,2025-12-13,Reebok,Boots,White,USA,Mall,207.79,13,2701.27
S115,2025-12-20,Nike,Boots,Blue,Saudi Arabia,Mall,169.35,8,1354.8
S116,2025-11-04,New Balance,Running,Blue,India,Retail Store,221.72,4,886.88
S117,2025-12-05,Nike,Sneakers,Green,France,Online,206.81,12,2481.72
S118,2025-08-04,Nike,Formal,Blue,UAE,Retail Store,71.05,16,1136.8
S119,2025-12-29,Reebok,Casual,Green,India,Mall,226.36,5,1131.8
S120,2025-05-19,New Balance,Formal,Red,Germany,Mall,148.66,20,2973.2
S121,2025-10-31,Puma,Casual,Black,France,Retail Store,207.64,9,1868.76
S122,2025-05-05,New Balance,Sneakers,Green,Germany,Retail Store,227.14,15,3407.1
S123,2025-01-15,Puma,Casual,Red,UK,Retail Store,99.96,16,1599.36
S124,2025-05-13,Puma,Sneakers,Green,France,Mall,54.21,11,596.31
S125,2025-01-06,Adidas,Running,White,UAE,Retail Store,80.15,17,1362.55
S126,2025-09-08,Adidas,Boots,Red,UAE,Mall,123.96,18,2231.28
S127,2025-09-09,Nike,Running,Blue,UK,Retail Store,209.96,15,3149.4
S128,2025-12-21,Puma,Boots,Grey,France,Retail Store,219.36,8,1754.88
S129,2025-10-11,Puma,Formal,Green,India,Retail Store,31.53,17,536.01
S130,2025-06-30,Puma,Sports,Blue,UK,Online,142.36,15,2135.4
S131,2025-04-09,Nike,Boots,Grey,Saudi Arabia,Mall,121.83,11,1340.13
S132,2025-04-05,Adidas,Boots,Red,France,Mall,78.86,7,552.02
S133,2025-10-29,New Balance,Sports,Black,Saudi Arabia,Online,56.37,17,958.29
S134,2025-06-01,Puma,Casual,Blue,USA,Mall,104.28,8,834.24
S135,2025-10-01,Puma,Running,Black,India,Retail Store,237.44,5,1187.2
S136,2025-12-24,Skechers,Formal,Black,Saudi Arabia,Online,101.1,5,505.5
S137,2025-10-21,Reebok,Formal,Red,France,Online,144.13,10,1441.3
S138,2025-01-27,Reebok,Running,Black,Germany,Retail Store,184.66,9,1661.94
S139,2025-02-07,Skechers,Boots,Black,UK,Online,110.0,19,2090.0
S140,2025-10-16,Nike,Casual,Black,India,Retail Store,243.79,10,2437.9
S141,2025-11-07,New Balance,Casual,Grey,Germany,Retail Store,241.74,20,4834.8
S142,2025-08-15,New Balance,Formal,Blue,India,Mall,85.39,10,853.9
S143,2025-01-31,Skechers,Running,White,UAE,Online,139.39,20,2787.8
S144,2025-05-16,Adidas,Casual,White,India,Online,96.19,3,288.57
S145,2025-03-22,Reebok,Formal,Green,India,Retail Store,92.66,1,92.66
S146,2025-05-30,Adidas,Sports,Green,France,Mall,38.12,2,76.24
S147,2025-08-21,Skechers,Casual,Blue,Saudi Arabia,Mall,164.1,3,492.3
S148,2025-10-29,Reebok,Running,Grey,UK,Mall,140.59,7,984.13
S149,2025-03-18,Adidas,Running,Black,UK,Retail Store,41.33,9,371.97
S150,2025-11-01,Puma,Formal,Black,Germany,Mall,91.3,19,1734.7
S151,2025-06-05,Puma,Sneakers,Grey,Germany,Retail Store,229.82,13,2987.66
S152,2025-02-11,Nike,Formal,Green,France,Mall,82.7,20,1654.0
S153,2025-05-09,Nike,Casual,Green,Saudi Arabia,Mall,61.88,1,61.88
S154,2025-10-28,Skechers,Sports,Grey,USA,Online,137.68,1,137.68
S155,2025-08-29,Skechers,Formal,Blue,UK,Mall,246.84,17,4196.28
S156,2025-08-12,Nike,Formal,Blue,Germany,Retail Store,83.25,16,1332.0
S157,2025-06-14,Adidas,Sports,Red,UAE,Retail Store,177.87,4,711.48
S158,2025-05-28,New Balance,Running,Red,USA,Retail Store,197.56,13,2568.28
S159,2025-05-10,Nike,Formal,Grey,Saudi Arabia,Online,82.28,11,905.08
S160,2025-12-03,Reebok,Formal,Black,UK,Mall,190.21,18,3423.78
S161,2025-07-05,Reebok,Boots,Red,Saudi Arabia,Online,110.91,20,2218.2
S162,2025-04-15,New Balance,Casual,Blue,Germany,Mall,169.11,9,1521.99
S163,2025-09-06,Nike,Boots,Grey,Saudi Arabia,Online,169.38,4,677.52
S164,2025-12-30,Puma,Sneakers,Black,India,Retail Store,147.87,6,887.22
S165,2025-02-17,Nike,Formal,Black,UAE,Online,49.86,8,398.88
S166,2025-09-13,New Balance,Boots,Blue,Germany,Retail Store,213.77,10,2137.7
S167,2025-08-30,Reebok,Sneakers,White,Germany,Online,100.57,8,804.56
S168,2025-11-03,Skechers,Casual,Black,France,Retail Store,71.03,17,1207.51
S169,2025-06-24,Puma,Running,Blue,UAE,Retail Store,38.97,17,662.49
S170,2025-10-28,Skechers,Formal,White,Germany,Mall,160.0,19,3040.0
S171,2025-09-05,Puma,Sneakers,Grey,Germany,Retail Store,179.06,12,2148.72
S172,2025-06-14,Skechers,Casual,Grey,Germany,Online,33.65,7,235.55
S173,2025-07-30,Puma,Boots,Red,UAE,Retail Store,142.66,2,285.32
S174,2025-07-17,Reebok,Running,White,India,Mall,79.83,5,399.15
S175,2025-06-19,Reebok,Running,Grey,Germany,Online,171.94,4,687.76
S176,2025-03-15,Skechers,Casual,Black,Germany,Retail Store,68.36,14,957.04
S177,2025-06-23,Skechers,Formal,Green,USA,Retail Store,182.01,20,3640.2
S178,2025-12-12,Reebok,Sports,Green,UAE,Retail Store,115.08,18,2071.44
S179,2025-10-05,New Balance,Running,White,UAE,Mall,236.08,2,472.16
S180,2025-05-28,Skechers,Running,Red,USA,Mall,60.25,8,482.0
S181,2025-12-27,Reebok,Casual,Green,France,Online,105.03,4,420.12
S182,2025-01-24,Nike,Sports,Blue,France,Retail Store,54.96,11,604.56
S183,2025-03-16,New Balance,Formal,Grey,UAE,Online,233.43,8,1867.44
S184,2025-03-29,Nike,Sneakers,Red,India,Mall,223.01,6,1338.06
S185,2025-05-04,New Balance,Casual,White,Germany,Mall,86.75,16,1388.0
S186,2025-05-11,Puma,Boots,Black,Saudi Arabia,Retail Store,175.2,15,2628.0
S187,2025-05-28,Adidas,Running,Red,France,Mall,209.79,18,3776.22
S188,2025-06-03,Skechers,Sports,Red,Saudi Arabia,Retail Store,152.14,14,2129.96
S189,2025-04-12,Reebok,Running,White,Germany,Mall,146.52,13,1904.76
S190,2025-07-03,Puma,Boots,Blue,USA,Mall,83.21,19,1580.99
S191,2025-07-22,Nike,Sneakers,Green,Saudi Arabia,Mall,50.48,9,454.32
S192,2025-01-26,Skechers,Formal,Blue,Saudi Arabia,Online,227.39,20,4547.8
S193,2025-11-07,Adidas,Boots,White,India,Retail Store,228.09,12,2737.08
S194,2025-12-14,Skechers,Running,Green,UAE,Online,169.28,5,846.4
S195,2025-06-08,Nike,Sneakers,Blue,UAE,Online,104.59,15,1568.85
S196,2025-02-16,Puma,Boots,Red,UK,Online,106.83,10,1068.3
S197,2025-03-09,Puma,Sneakers,Grey,France,Online,189.71,18,3414.78
S198,2025-05-12,Puma,Boots,Blue,Saudi Arabia,Online,227.36,16,3637.76
S199,2025-08-28,Adidas,Casual,Green,UAE,Mall,225.16,3,675.48
S200,2025-07-23,Puma,Running,Red,USA,Retail Store,201.57,18,3628.26
S201,2025-10-02,Reebok,Sports,Green,UAE,Mall,171.25,4,685.0
S202,2025-05-15,Reebok,Boots,Blue,USA,Mall,48.51,19,921.69
S203,2025-04-30,Nike,Sneakers,Grey,France,Mall,65.56,16,1048.96
S204,2025-04-24,Skechers,Formal,Green,France,Mall,227.68,3,683.04
S205,2025-07-29,Adidas,Running,Black,France,Retail Store,163.41,4,653.64
S206,2025-03-01,Adidas,Sneakers,White,Germany,Retail Store,32.02,4,128.08
S207,2025-07-09,Reebok,Sneakers,Green,UAE,Online,52.32,18,941.76
S208,2025-08-01,Reebok,Sneakers,Red,France,Online,175.97,4,703.88
S209,2025-12-20,Adidas,Formal,Red,UK,Retail Store,31.11,12,373.32
S210,2025-02-20,New Balance,Boots,Blue,USA,Retail Store,65.38,12,784.56
S211,2025-05-22,Nike,Formal,Black,UAE,Online,150.72,7,1055.04
S212,2025-11-25,Nike,Running,Blue,UK,Online,182.22,20,3644.4
S213,2025-10-17,Nike,Sneakers,White,India,Online,173.43,7,1214.01
S214,2025-04-30,Adidas,Sneakers,Black,France,Online,79.34,11,872.74
S215,2025-03-08,Puma,Casual,Black,UAE,Online,186.68,18,3360.24
S216,2025-03-09,Puma,Casual,Grey,France,Online,82.19,1,82.19
S217,2025-03-31,Nike,Casual,Green,Germany,Mall,101.59,9,914.31
S218,2025-02-28,Reebok,Formal,Blue,India,Mall,194.23,3,582.69
S219,2025-02-25,New Balance,Casual,Grey,USA,Mall,172.92,15,2593.8
S220,2025-12-04,Puma,Formal,Green,USA,Online,216.83,17,3686.11
S221,2025-09-03,Reebok,Boots,Black,Germany,Mall,174.67,13,2270.71
S222,2025-08-16,Nike,Sports,Grey,UK,Online,155.03,3,465.09
S223,2025-03-06,New Balance,Boots,Grey,India,Mall,50.61,9,455.49
S224,2025-06-16,New Balance,Sneakers,Blue,Germany,Mall,110.9,13,1441.7
S225,2025-11-06,Nike,Boots,Black,Saudi Arabia,Mall,88.34,14,1236.76
S226,2025-11-30,Skechers,Casual,Red,Germany,Online,83.68,18,1506.24
S227,2025-07-31,Reebok,Formal,Red,UAE,Online,244.06,11,2684.66
S228,2025-06-10,Puma,Boots,Blue,France,Online,116.48,14,1630.72
S229,2025-12-18,Nike,Running,Black,USA,Retail Store,226.25,16,3620.0
S230,2025-02-19,Adidas,Sneakers,Black,India,Mall,168.85,12,2026.2
S231,2025-10-15,Skechers,Running,Red,France,Mall,204.86,11,2253.46
S232,2025-08-05,Puma,Sneakers,Blue,France,Online,140.58,2,281.16
S233,2025-10-23,Adidas,Casual,Green,Germany,Online,156.92,17,2667.64
S234,2025-02-25,New Balance,Sports,Black,Saudi Arabia,Retail Store,138.35,12,1660.2
S235,2025-10-21,Reebok,Sneakers,Grey,India,Mall,72.95,8,583.6
S236,2025-11-26,Nike,Sneakers,Green,Saudi Arabia,Mall,188.94,18,3400.92
S237,2025-05-17,Adidas,Sports,Green,Saudi Arabia,Retail Store,91.77,1,91.77
S238,2025-06-23,Nike,Casual,White,India,Mall,35.35,12,424.2
S239,2025-07-25,Adidas,Boots,Green,USA,Online,172.0,3,516.0
S240,2025-09-29,Reebok,Formal,Red,France,Online,68.96,7,482.72
S241,2025-07-09,Skechers,Sports,Grey,India,Online,236.9,10,2369.0
S242,2025-01-27,Adidas,Sneakers,Black,UAE,Online,239.86,5,1199.3
S243,2025-05-20,Skechers,Formal,Red,India,Retail Store,231.27,15,3469.05
S244,2025-08-01,Adidas,Sneakers,Black,France,Retail Store,111.43,9,1002.87
S245,2025-02-26,Skechers,Boots,Grey,Germany,Mall,33.4,10,334.0
S246,2025-12-08,Nike,Casual,Red,India,Online,234.23,10,2342.3
S247,2025-01-04,Puma,Casual,White,Saudi Arabia,Retail Store,124.2,7,869.4
S248,2025-05-29,Nike,Running,Red,UAE,Retail Store,242.66,11,2669.26
S249,2025-03-31,Reebok,Sneakers,Green,UK,Mall,242.0,5,1210.0
S250,2025-10-14,Nike,Formal,Green,USA,Retail Store,217.66,12,2611.92
S251,2025-01-10,Nike,Sports,Grey,Germany,Mall,94.78,15,1421.7
S252,2025-07-27,Puma,Running,Red,USA,Retail Store,114.72,14,1606.08
S253,2025-03-29,Reebok,Boots,Blue,USA,Retail Store,217.25,20,4345.0
S254,2025-02-24,Reebok,Sneakers,Red,India,Online,99.72,8,797.76
S255,2025-07-22,Skechers,Sports,White,France,Online,67.29,10,672.9
S256,2025-02-09,Skechers,Running,Grey,India,Online,152.5,17,2592.5
S257,2025-06-28,Skechers,Boots,White,UK,Online,235.95,12,2831.4
S258,2025-03-16,Adidas,Casual,Grey,UK,Mall,183.13,9,1648.17
S259,2025-02-08,Skechers,Formal,Red,Saudi Arabia,Mall,155.41,6,932.46
S260,2025-10-24,Skechers,Sneakers,Green,UAE,Mall,51.38,15,770.7
S261,2025-06-15,Adidas,Formal,Black,Germany,Retail Store,165.3,11,1818.3
S262,2025-11-20,Puma,Sneakers,Black,France,Mall,247.81,10,2478.1
S263,2025-02-07,Reebok,Formal,Black,USA,Retail Store,60.82,10,608.2
S264,2025-05-27,Skechers,Running,Grey,India,Mall,144.03,3,432.09
S265,2025-07-16,New Balance,Sneakers,Green,USA,Retail Store,223.02,15,3345.3
S266,2025-10-20,Puma,Sneakers,Red,India,Online,192.97,7,1350.79
S267,2025-02-01,Nike,Sports,Green,USA,Mall,183.34,15,2750.1
S268,2025-11-27,Nike,Casual,Green,Germany,Retail Store,184.55,6,1107.3
S269,2025-09-26,New Balance,Casual,Blue,France,Retail Store,109.09,17,1854.53
S270,2025-07-18,Puma,Boots,Grey,USA,Mall,94.59,14,1324.26
S271,2025-11-28,Nike,Sports,Black,India,Mall,208.06,11,2288.66
S272,2025-07-17,Puma,Boots,Green,India,Online,208.22,10,2082.2
S273,2025-06-20,New Balance,Boots,White,France,Retail Store,220.76,3,662.28
S274,2025-12-02,Adidas,Sneakers,Green,USA,Retail Store,230.91,13,3001.83
S275,2025-10-14,Skechers,Sports,White,UAE,Mall,142.5,13,1852.5
S276,2025-12-17,Nike,Boots,Green,Germany,Mall,140.33,17,2385.61
S277,2025-07-05,Puma,Sports,White,UK,Retail Store,205.62,1,205.62
S278,2025-09-06,Adidas,Casual,White,USA,Retail Store,172.99,7,1210.93
S279,2025-02-21,New Balance,Boots,Grey,USA,Mall,184.43,17,3135.31
S280,2025-06-22,Adidas,Sneakers,Red,UK,Online,205.07,20,4101.4
S281,2025-04-03,Adidas,Boots,Red,USA,Retail Store,225.8,20,4516.0
S282,2025-07-06,Reebok,Sneakers,Blue,Saudi Arabia,Mall,104.36,8,834.88
S283,2025-08-18,New Balance,Casual,Blue,Saudi Arabia,Retail Store,112.63,8,901.04
S284,2025-04-10,Skechers,Sneakers,Red,Germany,Retail Store,50.68,12,608.16
S285,2025-07-15,New Balance,Formal,White,Saudi Arabia,Online,157.22,17,2672.74
S286,2025-11-06,Puma,Running,Green,Germany,Retail Store,37.91,5,189.55
S287,2025-10-11,Skechers,Sneakers,Black,France,Online,132.43,4,529.72
S288,2025-03-24,Reebok,Sneakers,White,Saudi Arabia,Retail Store,149.38,9,1344.42
S289,2025-02-16,Reebok,Sports,Black,Germany,Online,93.04,8,744.32
S290,2025-07-22,Puma,Casual,Red,USA,Retail Store,159.98,17,2719.66
S291,2025-04-25,Puma,Running,Green,UAE,Retail Store,36.71,1,36.71
S292,2025-03-16,Nike,Sports,Red,UAE,Online,38.22,5,191.1
S293,2025-12-28,Reebok,Sneakers,Black,USA,Online,210.97,16,3375.52
S294,2025-05-12,Adidas,Sneakers,Green,India,Mall,109.24,7,764.68
S295,2025-08-05,Puma,Casual,Blue,USA,Online,57.95,4,231.8
S296,2025-05-03,Skechers,Sneakers,Red,USA,Online,144.89,14,2028.46
S297,2025-09-13,New Balance,Running,Green,India,Mall,199.4,20,3988.0
S298,2025-05-04,Puma,Formal,Black,India,Retail Store,77.48,5,387.4
S299,2025-05-04,Reebok,Casual,Green,UAE,Online,167.04,19,3173.76
S300,2025-09-26,Nike,Sneakers,Grey,India,Mall,48.78,12,585.36
S301,2025-10-11,Reebok,Formal,Black,UAE,Retail Store,41.37,1,41.37
S302,2025-07-11,Skechers,Running,Blue,Saudi Arabia,Online,146.9,9,1322.1
S303,2025-06-26,Skechers,Boots,Green,USA,Mall,148.94,8,1191.52
S304,2025-06-20,Nike,Sports,Grey,France,Mall,170.23,5,851.15
S305,2025-03-31,Skechers,Formal,Green,UK,Online,189.74,15,2846.1
S306,2025-02-02,Nike,Sports,White,USA,Online,244.69,15,3670.35
S307,2025-01-22,Puma,Sneakers,Red,Saudi Arabia,Mall,143.59,11,1579.49
S308,2025-08-31,Nike,Boots,White,France,Retail Store,101.05,9,909.45
S309,2025-01-25,Puma,Running,Blue,Germany,Retail Store,204.94,11,2254.34
S310,2025-08-14,Puma,Casual,Red,UAE,Retail Store,89.58,13,1164.54
S311,2025-07-08,Puma,Running,Green,Germany,Online,126.57,17,2151.69
S312,2025-08-09,Adidas,Sneakers,Blue,France,Online,47.26,20,945.2
S313,2025-02-10,Skechers,Sports,Blue,Germany,Mall,35.58,11,391.38
S314,2025-08-07,Skechers,Formal,Blue,Germany,Online,241.78,6,1450.68
S315,2025-06-30,Reebok,Sports,Green,Saudi Arabia,Online,213.92,20,4278.4
S316,2025-02-08,Puma,Sneakers,Green,UAE,Online,183.11,13,2380.43
S317,2025-01-16,New Balance,Boots,Red,USA,Online,119.97,5,599.85
S318,2025-02-04,Skechers,Sports,Blue,Germany,Mall,68.12,8,544.96
S319,2025-01-17,Adidas,Boots,Red,France,Retail Store,64.42,20,1288.4
S320,2025-08-16,New Balance,Casual,Grey,France,Retail Store,85.05,3,255.15
S321,2025-06-10,Adidas,Running,Black,UAE,Online,150.83,9,1357.47
S322,2025-09-13,Reebok,Sneakers,Black,France,Retail Store,187.21,17,3182.57
S323,2025-12-27,Adidas,Sneakers,Blue,UAE,Retail Store,175.24,15,2628.6
S324,2025-04-13,Adidas,Running,Red,UK,Mall,91.59,4,366.36
S325,2025-08-16,Skechers,Sports,Green,France,Mall,240.07,3,720.21
S326,2025-02-03,New Balance,Sports,Blue,Saudi Arabia,Online,192.34,18,3462.12
S327,2025-12-31,Puma,Sneakers,White,USA,Online,151.96,6,911.76
S328,2025-03-13,Reebok,Running,Blue,India,Mall,164.58,8,1316.64
S329,2025-07-08,New Balance,Casual,Grey,USA,Online,122.31,15,1834.65
S330,2025-06-08,Skechers,Boots,Red,India,Retail Store,84.5,13,1098.5
S331,2025-07-29,Nike,Casual,Blue,UAE,Online,108.31,19,2057.89
S332,2025-08-19,Skechers,Sneakers,Blue,UK,Mall,196.73,15,2950.95
S333,2025-11-24,Adidas,Casual,Red,India,Online,33.17,19,630.23
S334,2025-03-05,Adidas,Sports,White,UK,Retail Store,55.54,17,944.18
S335,2025-12-30,Puma,Sneakers,Blue,Saudi Arabia,Online,40.12,8,320.96
S336,2025-05-09,Skechers,Sneakers,Blue,UK,Mall,38.96,7,272.72
S337,2025-06-05,New Balance,Running,Grey,UAE,Online,218.2,20,4364.0
S338,2025-10-31,Adidas,Casual,Green,India,Mall,184.8,19,3511.2
S339,2025-11-06,New Balance,Running,Black,USA,Online,134.32,11,1477.52
S340,2025-11-25,Puma,Boots,White,Saudi Arabia,Mall,51.52,19,978.88
S341,2025-08-02,Skechers,Running,Red,UAE,Mall,138.16,20,2763.2
S342,2025-05-29,Reebok,Casual,Green,Germany,Retail Store,134.16,10,1341.6
